invoice_no,customer_id,invoice_date,country,customer_segment,category,quantity,unit_price,total_price
INV182627,C00892,2023-07-13,Malaysia,Budget,Home & Living,1,62800.0,62800.0
INV748564,C00696,2024-10-05,Indonesia,Budget,Fashion,1,134200.0,134200.0
INV705397,C00795,2024-01-06,Singapore,Budget,Home & Living,1,58700.0,58700.0
INV838797,C01168,2023-07-16,Thailand,Regular,Home & Living,1,138300.0,138300.0
INV148050,C02077,2023-03-13,Indonesia,Regular,Fashion,2,144400.0,288800.0
INV183667,C01390,2023-10-24,Indonesia,Budget,Fashion,3,24500.0,73600.0
INV205907,C00312,2023-08-27,Thailand,Regular,Fashion,1,102800.0,102800.0
INV391476,C02366,2024-01-25,Thailand,Premium,Electronics,5,954700.0,4773600.0
INV766563,C02748,2024-04-09,Vietnam,Regular,Electronics,3,203600.0,610800.0
INV270555,C02787,2024-01-09,Indonesia,Regular,Food & Beverage,1,456900.0,456900.0
INV472528,C02102,2024-01-15,Malaysia,Regular,Electronics,2,100300.0,200500.0
INV835911,C03831,2023-05-17,Philippines,Budget,Home & Living,2,10000.0,20000.0
INV779514,C00984,2024-11-30,Singapore,Regular,Books,1,130700.0,130700.0
INV738720,C00930,2023-03-15,Indonesia,Premium,Sports,1,749100.0,749100.0
INV279451,C02825,2024-10-12,Malaysia,Premium,Home & Living,1,1407200.0,1407200.0
INV271339,C00162,2023-09-08,Indonesia,Budget,Fashion,7,107600.0,753300.0
INV497887,C00004,2024-04-18,Philippines,Regular,Fashion,1,210500.0,210500.0
INV771088,C01285,2023-10-04,Singapore,Premium,Home & Living,1,1123900.0,1123900.0
INV817870,C03060,2023-08-13,Philippines,Budget,Electronics,1,37900.0,37900.0
INV913694,C03418,2024-01-29,Vietnam,Budget,Toys,1,32200.0,32200.0
INV340174,C00314,2023-02-27,Indonesia,Premium,Home & Living,3,2020300.0,6061000.0
INV520651,C01813,2023-11-20,Indonesia,Budget,Home & Living,2,50300.0,100600.0
INV169403,C01609,2023-10-02,Vietnam,Regular,Fashion,1,543500.0,543500.0
INV694731,C03706,2023-08-05,Indonesia,Premium,Beauty,1,648600.0,648600.0
INV322955,C03331,2023-11-19,Thailand,Regular,Fashion,1,228700.0,228700.0
INV623481,C02985,2024-11-02,Philippines,Regular,Food & Beverage,2,90600.0,181100.0
INV774079,C00745,2024-02-10,Philippines,Premium,Food & Beverage,2,1530700.0,3061500.0
INV249811,C00481,2024-04-14,Thailand,Premium,Beauty,2,1417400.0,2834900.0
INV881177,C01661,2023-05-07,Thailand,Budget,Fashion,4,50100.0,200200.0
INV883300,C02376,2023-09-27,Malaysia,Budget,Beauty,7,61600.0,431000.0
INV549245,C02601,2024-08-21,Indonesia,Regular,Electronics,6,143300.0,860100.0
INV518801,C01480,2024-08-20,Japan,Regular,Home & Living,4,122000.0,487900.0
INV634277,C02537,2023-03-12,Singapore,Budget,Sports,3,89200.0,267600.0
INV214975,C01862,2023-02-18,Indonesia,Budget,Fashion,1,59400.0,59400.0
INV757924,C03534,2023-06-06,Malaysia,Regular,Food & Beverage,1,188800.0,188800.0
INV930555,C01276,2023-06-13,Malaysia,Regular,Sports,5,135700.0,678700.0
INV542666,C00201,2024-11-27,Thailand,Premium,Electronics,1,1682800.0,1682800.0
INV166613,C00922,2024-09-02,Thailand,Regular,Toys,2,504200.0,1008400.0
INV500156,C03478,2024-01-30,Vietnam,Regular,Beauty,1,419900.0,419900.0
INV654816,C02813,2024-04-24,Indonesia,Budget,Fashion,1,32500.0,32500.0
INV680099,C02769,2023-09-15,Indonesia,Premium,Electronics,1,1167900.0,1167900.0
INV813328,C02294,2023-01-12,Indonesia,Premium,Beauty,1,492600.0,492600.0
INV814825,C00179,2023-04-28,Malaysia,Regular,Sports,1,125400.0,125400.0
INV887352,C03316,2024-07-03,Thailand,Regular,Fashion,2,164300.0,328600.0
INV456699,C01216,2023-11-25,Singapore,Budget,Beauty,1,39000.0,39000.0
INV407757,C03546,2023-04-25,Indonesia,Regular,Food & Beverage,3,450200.0,1350500.0
INV265840,C03391,2024-03-21,Indonesia,Regular,Electronics,3,115700.0,347000.0
INV103402,C00888,2024-04-09,Indonesia,Regular,Home & Living,1,350900.0,350900.0
INV624902,C03183,2023-09-27,Singapore,Regular,Sports,3,194700.0,584000.0
INV211579,C01605,2024-06-03,Indonesia,Budget,Books,1,109500.0,109500.0
INV412942,C00331,2024-10-02,Indonesia,Premium,Electronics,1,2056900.0,2056900.0
INV632323,C03576,2024-10-16,Indonesia,Regular,Electronics,3,134700.0,404200.0
INV308573,C01568,2024-09-15,Indonesia,Regular,Electronics,1,235600.0,235600.0
INV492077,C00555,2023-06-06,Philippines,Regular,Beauty,2,229800.0,459600.0
INV665579,C02685,2023-06-15,Philippines,Regular,Fashion,1,202900.0,202900.0
INV100599,C02348,2024-06-27,Malaysia,Regular,Beauty,4,342400.0,1369400.0
INV120422,C00826,2024-05-15,Malaysia,Budget,Home & Living,1,59700.0,59700.0
INV972064,C03740,2023-07-05,Vietnam,Budget,Beauty,3,69900.0,209600.0
INV160738,C03032,2023-09-03,Indonesia,Budget,Beauty,1,16800.0,16800.0
INV694916,C02098,2023-09-04,Singapore,Premium,Toys,1,1086200.0,1086200.0
INV189814,C00221,2023-03-22,Indonesia,Regular,Electronics,1,63400.0,63400.0
INV897549,C00996,2023-03-12,Philippines,Budget,Food & Beverage,3,43600.0,130900.0
INV234628,C00389,2023-05-09,Philippines,Budget,Books,2,17900.0,35800.0
INV273148,C03138,2024-07-16,Singapore,Budget,Electronics,1,19800.0,19800.0
INV653306,C02369,2023-09-29,Vietnam,Regular,Fashion,1,465500.0,465500.0
INV322086,C00447,2024-03-09,Singapore,Budget,Electronics,1,23700.0,23700.0
INV891952,C01917,2024-07-06,Indonesia,Regular,Fashion,1,315900.0,315900.0
INV310922,C00689,2024-12-07,Indonesia,Regular,Electronics,2,414900.0,829900.0
INV804314,C00327,2024-02-13,Thailand,Budget,Electronics,1,77400.0,77400.0
INV491559,C02406,2024-10-27,Malaysia,Premium,Fashion,1,1148200.0,1148200.0
INV642717,C00046,2024-03-24,Indonesia,Premium,Fashion,5,1629900.0,8149500.0
INV226882,C01227,2024-04-07,Australia,Premium,Home & Living,1,1562100.0,1562100.0
INV454508,C02888,2023-02-02,Malaysia,Budget,Books,1,33400.0,33400.0
INV716886,C01341,2023-01-22,Singapore,Regular,Home & Living,1,219100.0,219100.0
INV341292,C02693,2024-07-21,Malaysia,Regular,Fashion,1,203700.0,203700.0
INV174441,C01498,2023-01-08,Singapore,Budget,Food & Beverage,1,32100.0,32100.0
INV340062,C02882,2023-03-02,Singapore,Budget,Electronics,1,53400.0,53400.0
INV132938,C03401,2023-03-11,Indonesia,Premium,Sports,2,757200.0,1514300.0
INV174299,C02822,2023-12-05,Vietnam,Premium,Fashion,1,2058400.0,2058400.0
INV349565,C00694,2024-06-10,Philippines,Regular,Fashion,6,292100.0,1752800.0
INV801474,C03904,2023-10-13,Indonesia,Regular,Sports,1,330900.0,330900.0
INV324643,C01533,2024-05-12,Indonesia,Regular,Home & Living,1,245200.0,245200.0
INV238739,C02125,2024-07-06,Japan,Regular,Home & Living,1,118300.0,118300.0
INV704201,C03622,2024-08-07,Indonesia,Regular,Home & Living,1,69900.0,69900.0
INV354801,C00781,2024-04-29,Indonesia,Regular,Fashion,1,69700.0,69700.0
INV946721,C03073,2024-04-29,Indonesia,Premium,Beauty,6,869300.0,5215700.0
INV299659,C02175,2024-02-21,Australia,Regular,Electronics,1,329700.0,329700.0
INV201639,C02258,2023-04-07,Japan,Regular,Electronics,1,175200.0,175200.0
INV544154,C02813,2023-12-29,Indonesia,Budget,Home & Living,1,72700.0,72700.0
INV589710,C02057,2024-02-25,Indonesia,Regular,Home & Living,3,185300.0,555800.0
INV806073,C02541,2023-02-25,Singapore,Regular,Beauty,2,317500.0,635100.0
INV777568,C00103,2024-10-31,Vietnam,Premium,Electronics,5,665500.0,3327300.0
INV863587,C01994,2023-07-26,Indonesia,Budget,Beauty,1,42300.0,42300.0
INV360735,C02168,2023-02-25,Indonesia,Budget,Electronics,1,93200.0,93200.0
INV299448,C01555,2023-07-16,Indonesia,Regular,Sports,1,155000.0,155000.0
INV570405,C01154,2024-07-03,Malaysia,Premium,Electronics,1,1116900.0,1116900.0
INV542374,C01553,2023-05-24,Malaysia,Premium,Beauty,2,1150200.0,2300500.0
INV392075,C00116,2023-07-07,Indonesia,Regular,Home & Living,1,357700.0,357700.0
INV361941,C00028,2024-04-18,Indonesia,Premium,Electronics,2,672600.0,1345200.0
INV564656,C01419,2023-03-19,Singapore,Regular,Sports,4,475800.0,1903400.0
INV202664,C03630,2024-07-17,Malaysia,Regular,Home & Living,1,681200.0,681200.0
INV783823,C03678,2023-02-21,Indonesia,Premium,Food & Beverage,2,1073300.0,2146500.0
INV976638,C01775,2024-07-07,Philippines,Premium,Fashion,1,945600.0,945600.0
INV890170,C01843,2023-02-17,Indonesia,Budget,Electronics,2,105300.0,210700.0
INV526156,C01211,2023-06-20,Australia,Budget,Fashion,8,37800.0,302700.0
INV604740,C02389,2024-05-12,Thailand,Regular,Home & Living,1,277100.0,277100.0
INV161483,C02474,2023-07-25,Philippines,Budget,Fashion,1,84500.0,84500.0
INV497382,C02361,2023-06-18,Indonesia,Premium,Home & Living,1,218800.0,218800.0
INV509386,C02150,2023-01-03,Malaysia,Regular,Fashion,1,237100.0,237100.0
INV922157,C02221,2023-09-29,Singapore,Regular,Home & Living,4,112500.0,450100.0
INV399105,C03986,2024-04-10,Malaysia,Regular,Food & Beverage,1,275300.0,275300.0
INV830429,C02560,2024-03-09,Philippines,Regular,Home & Living,1,89500.0,89500.0
INV794022,C00463,2024-07-23,Vietnam,Regular,Food & Beverage,1,80700.0,80700.0
INV262316,C00982,2024-05-13,Japan,Premium,Fashion,1,863800.0,863800.0
INV411120,C03643,2023-07-14,Philippines,Regular,Fashion,1,100300.0,100300.0
INV707314,C01926,2023-01-30,Japan,Budget,Sports,5,77100.0,385500.0
INV163918,C02314,2024-07-09,Indonesia,Regular,Beauty,1,251100.0,251100.0
INV152578,C03372,2023-02-28,Philippines,Budget,Fashion,7,17900.0,125000.0
INV994141,C01789,2024-05-29,Australia,Budget,Beauty,1,33900.0,33900.0
INV265080,C01404,2024-06-27,Philippines,Regular,Electronics,2,231000.0,462000.0
INV184002,C03333,2023-09-18,Indonesia,Budget,Home & Living,1,34700.0,34700.0
INV171849,C00679,2023-07-10,Indonesia,Regular,Home & Living,1,76700.0,76700.0
INV171262,C03785,2024-09-01,Indonesia,Regular,Home & Living,1,187000.0,187000.0
INV523389,C02402,2023-08-29,Singapore,Budget,Home & Living,1,105100.0,105100.0
INV697347,C00678,2023-05-03,Indonesia,Regular,Beauty,1,409200.0,409200.0
INV707040,C01963,2023-09-10,Indonesia,Premium,Food & Beverage,1,572600.0,572600.0
INV141672,C02694,2024-08-31,Malaysia,Regular,Electronics,1,124000.0,124000.0
INV789305,C03723,2024-03-05,Australia,Budget,Home & Living,2,117800.0,235700.0
INV692683,C02186,2024-08-20,Singapore,Regular,Home & Living,1,221300.0,221300.0
INV431737,C01250,2024-06-19,Indonesia,Regular,Electronics,3,289000.0,867100.0
INV314181,C00849,2023-09-25,Vietnam,Regular,Books,2,285700.0,571400.0
INV850981,C02084,2024-11-16,Philippines,Regular,Electronics,2,524900.0,1049900.0
INV515011,C01635,2023-05-16,Singapore,Budget,Beauty,8,43000.0,344000.0
INV414569,C03029,2023-11-27,Indonesia,Budget,Beauty,2,146200.0,292500.0
INV109767,C00707,2023-03-16,Indonesia,Budget,Electronics,1,62400.0,62400.0
INV751332,C02201,2024-04-14,Thailand,Regular,Home & Living,1,83900.0,83900.0
INV176819,C01977,2023-04-13,Indonesia,Budget,Fashion,1,33400.0,33400.0
INV378082,C00378,2024-06-02,Singapore,Budget,Electronics,1,71100.0,71100.0
INV172132,C03764,2023-06-28,Indonesia,Budget,Sports,1,40600.0,40600.0
INV487477,C03575,2023-09-08,Philippines,Premium,Home & Living,1,1138900.0,1138900.0
INV265409,C01497,2023-10-19,Indonesia,Premium,Sports,2,1614100.0,3228300.0
INV974244,C00420,2024-03-24,Indonesia,Regular,Home & Living,1,148300.0,148300.0
INV837715,C03299,2024-07-10,Indonesia,Regular,Fashion,6,177200.0,1063000.0
INV654634,C01078,2023-12-01,Philippines,Budget,Sports,3,39400.0,118200.0
INV800305,C03161,2023-01-09,Malaysia,Regular,Electronics,4,265100.0,1060300.0
INV413921,C01686,2024-07-21,Indonesia,Premium,Books,1,1436100.0,1436100.0
INV240814,C03148,2023-04-17,Australia,Budget,Fashion,1,90500.0,90500.0
INV878480,C00055,2023-02-24,Indonesia,Budget,Home & Living,5,73200.0,365800.0
INV262998,C01672,2024-07-20,Thailand,Premium,Home & Living,1,1719800.0,1719800.0
INV395442,C02948,2023-10-06,Malaysia,Regular,Beauty,1,290800.0,290800.0
INV320861,C02898,2024-09-11,Philippines,Regular,Home & Living,4,232600.0,930300.0
INV820892,C03755,2023-07-28,Malaysia,Budget,Sports,1,20300.0,20300.0
INV994343,C02703,2024-10-11,Philippines,Regular,Home & Living,1,423600.0,423600.0
INV629959,C01041,2023-09-28,Malaysia,Premium,Sports,2,1257700.0,2515500.0
INV363319,C00023,2024-05-15,Vietnam,Regular,Fashion,1,171300.0,171300.0
INV196781,C00104,2023-02-22,Australia,Regular,Electronics,1,297900.0,297900.0
INV544151,C00274,2024-10-11,Singapore,Regular,Fashion,1,183000.0,183000.0
INV103717,C02365,2023-02-15,Indonesia,Budget,Home & Living,1,101900.0,101900.0
INV908577,C03810,2023-12-08,Indonesia,Regular,Electronics,1,370600.0,370600.0
INV768061,C00796,2023-05-14,Indonesia,Regular,Beauty,1,214300.0,214300.0
INV269430,C01346,2023-09-26,Indonesia,Regular,Fashion,4,218800.0,875400.0
INV839945,C00893,2024-07-18,Philippines,Budget,Electronics,3,66500.0,199400.0
INV688153,C03638,2024-03-13,Singapore,Regular,Home & Living,1,205600.0,205600.0
INV824586,C02960,2023-02-08,Singapore,Budget,Home & Living,1,20600.0,20600.0
INV672092,C02462,2023-06-02,Indonesia,Regular,Food & Beverage,6,475700.0,2854000.0
INV710805,C03047,2023-07-09,Indonesia,Budget,Sports,1,114400.0,114400.0
INV255287,C02084,2024-07-19,Philippines,Regular,Home & Living,1,252200.0,252200.0
INV423232,C00509,2023-02-12,Malaysia,Budget,Home & Living,5,79000.0,395100.0
INV475190,C02556,2023-01-21,Thailand,Budget,Home & Living,3,81900.0,245700.0
INV815198,C01788,2023-08-04,Malaysia,Regular,Fashion,2,297500.0,595000.0
INV470858,C03205,2023-02-22,Philippines,Budget,Sports,1,64800.0,64800.0
INV526117,C02346,2024-07-27,Indonesia,Regular,Food & Beverage,3,367700.0,1103000.0
INV885884,C02027,2024-09-27,Philippines,Regular,Electronics,1,267700.0,267700.0
INV270395,C01113,2023-05-02,Indonesia,Budget,Sports,1,44700.0,44700.0
INV532322,C02027,2023-07-01,Philippines,Regular,Beauty,1,165800.0,165800.0
INV288073,C03863,2023-01-26,Malaysia,Regular,Food & Beverage,2,179600.0,359200.0
INV920391,C00621,2023-12-07,Indonesia,Budget,Home & Living,2,150400.0,300800.0
INV870763,C02982,2024-11-16,Indonesia,Budget,Sports,5,21000.0,105200.0
INV379766,C00560,2023-09-12,Vietnam,Premium,Sports,1,263400.0,263400.0
INV925622,C00490,2023-06-13,Singapore,Regular,Food & Beverage,2,378800.0,757700.0
INV213346,C01475,2024-12-19,Vietnam,Regular,Books,1,408100.0,408100.0
INV140605,C02343,2024-01-27,Philippines,Regular,Fashion,1,399700.0,399700.0
INV333238,C03300,2024-04-26,Japan,Regular,Fashion,1,205100.0,205100.0
INV956253,C01681,2023-07-24,Philippines,Premium,Home & Living,1,10000.0,10000.0
INV466643,C01567,2024-04-16,Philippines,Regular,Home & Living,1,262400.0,262400.0
INV333752,C03153,2023-04-27,Vietnam,Budget,Books,6,35000.0,209900.0
INV792094,C00074,2023-01-25,Philippines,Regular,Home & Living,1,124200.0,124200.0
INV392136,C03559,2023-06-18,Indonesia,Budget,Beauty,1,96900.0,96900.0
INV910891,C02897,2023-03-13,Singapore,Regular,Home & Living,2,271100.0,542100.0
INV634150,C03465,2023-11-25,Indonesia,Budget,Beauty,6,73300.0,440000.0
INV447235,C03954,2023-10-02,Singapore,Budget,Home & Living,5,48600.0,242900.0
INV220944,C00570,2023-01-29,Thailand,Regular,Electronics,4,385600.0,1542400.0
INV287241,C00529,2023-09-25,Indonesia,Budget,Home & Living,1,33100.0,33100.0
INV140115,C00419,2023-09-29,Vietnam,Budget,Electronics,3,86600.0,259700.0
INV725550,C00126,2023-04-22,Thailand,Regular,Fashion,5,101300.0,506600.0
INV462479,C02352,2024-03-20,Indonesia,Regular,Electronics,1,256100.0,256100.0
INV557592,C00574,2023-11-18,Indonesia,Regular,Food & Beverage,2,111200.0,222500.0
INV636265,C03625,2024-09-12,Thailand,Regular,Electronics,1,288400.0,288400.0
INV299312,C00130,2023-10-23,Indonesia,Budget,Electronics,2,126200.0,252400.0
INV146542,C00432,2023-09-18,Thailand,Premium,Beauty,3,1421700.0,4265000.0
INV557239,C03088,2024-12-26,Indonesia,Premium,Food & Beverage,1,1985200.0,1985200.0
INV645175,C00209,2023-01-02,Indonesia,Premium,Beauty,1,1201300.0,1201300.0
INV820221,C01038,2024-07-05,Thailand,Budget,Electronics,4,30100.0,120300.0
INV306606,C03217,2024-11-17,Malaysia,Budget,Fashion,3,41000.0,123000.0
INV552248,C01600,2024-01-08,Malaysia,Regular,Fashion,7,105100.0,735700.0
INV796503,C03903,2023-03-13,Thailand,Regular,Electronics,2,214400.0,428800.0
INV753425,C01555,2023-12-05,Indonesia,Regular,Fashion,1,253800.0,253800.0
INV795612,C03692,2023-11-18,Australia,Regular,Home & Living,1,231500.0,231500.0
INV631756,C03712,2023-11-04,Philippines,Budget,Fashion,1,66500.0,66500.0
INV799287,C03169,2023-11-13,Singapore,Premium,Beauty,1,1231800.0,1231800.0
INV442027,C01515,2024-02-23,Malaysia,Regular,Fashion,2,352900.0,705700.0
INV681343,C01340,2023-10-30,Indonesia,Budget,Electronics,7,45800.0,320900.0
INV301158,C00453,2023-05-11,Indonesia,Premium,Sports,3,1589800.0,4769300.0
INV797229,C02079,2024-03-06,Indonesia,Regular,Electronics,3,268800.0,806500.0
INV810219,C00305,2024-01-24,Indonesia,Regular,Sports,1,399300.0,399300.0
INV745414,C01613,2023-06-28,Indonesia,Regular,Fashion,1,330500.0,330500.0
INV415568,C00857,2024-08-05,Philippines,Regular,Fashion,1,166800.0,166800.0
INV674553,C03811,2024-02-20,Japan,Regular,Books,1,240700.0,240700.0
INV418635,C01467,2023-01-01,Thailand,Regular,Electronics,1,348500.0,348500.0
INV320392,C02926,2023-10-21,Indonesia,Regular,Sports,1,124300.0,124300.0
INV736130,C00112,2024-08-16,Philippines,Budget,Food & Beverage,3,95600.0,286900.0
INV437902,C01634,2024-11-01,Australia,Premium,Electronics,2,525400.0,1050900.0
INV563246,C03075,2024-04-21,Malaysia,Regular,Electronics,1,106200.0,106200.0
INV636004,C02982,2023-08-07,Indonesia,Budget,Electronics,1,14800.0,14800.0
INV932291,C01634,2024-04-29,Australia,Premium,Fashion,1,364500.0,364500.0
INV790855,C01914,2023-06-23,Indonesia,Budget,Beauty,1,81200.0,81200.0
INV397571,C02628,2023-03-28,Thailand,Regular,Books,1,157000.0,157000.0
INV796101,C00490,2024-06-11,Singapore,Regular,Electronics,1,314100.0,314100.0
INV197923,C03669,2023-12-10,Indonesia,Budget,Home & Living,2,32500.0,64900.0
INV805477,C01807,2023-08-29,Vietnam,Budget,Food & Beverage,1,77300.0,77300.0
INV335552,C03771,2023-11-14,Singapore,Regular,Beauty,1,173200.0,173200.0
INV254511,C03215,2023-07-23,Philippines,Regular,Beauty,2,299100.0,598200.0
INV148458,C00024,2023-01-26,Thailand,Regular,Home & Living,1,375400.0,375400.0
INV740967,C02911,2023-09-01,Japan,Budget,Beauty,1,70000.0,70000.0
INV577538,C03160,2023-03-16,Thailand,Budget,Electronics,1,42900.0,42900.0
INV760356,C00713,2024-02-29,Singapore,Regular,Fashion,1,388900.0,388900.0
INV303880,C01210,2024-08-12,Indonesia,Regular,Home & Living,1,109700.0,109700.0
INV618392,C02613,2024-01-29,Malaysia,Budget,Food & Beverage,1,53600.0,53600.0
INV355836,C00241,2024-02-14,Indonesia,Regular,Food & Beverage,1,112000.0,112000.0
INV787926,C03186,2023-06-01,Singapore,Regular,Fashion,1,261800.0,261800.0
INV105814,C00754,2024-12-05,Indonesia,Regular,Sports,1,288800.0,288800.0
INV916232,C03634,2023-04-20,Indonesia,Regular,Home & Living,1,335500.0,335500.0
INV329471,C02850,2024-03-11,Thailand,Regular,Beauty,5,171000.0,854900.0
INV943170,C03257,2023-06-30,Malaysia,Premium,Beauty,1,623200.0,623200.0
INV643118,C03238,2024-12-13,Vietnam,Premium,Beauty,1,1122900.0,1122900.0
INV361303,C00996,2024-07-24,Philippines,Budget,Electronics,1,51800.0,51800.0
INV578634,C01094,2023-05-05,Indonesia,Regular,Fashion,3,298000.0,894000.0
INV800005,C02045,2023-08-26,Indonesia,Budget,Home & Living,3,15000.0,45000.0
INV724377,C03719,2024-07-26,Indonesia,Budget,Fashion,1,92000.0,92000.0
INV891937,C01451,2023-11-21,Indonesia,Premium,Food & Beverage,3,1166300.0,3498800.0
INV742412,C02409,2024-03-29,Indonesia,Regular,Home & Living,1,189500.0,189500.0
INV547470,C02747,2024-05-31,Indonesia,Regular,Electronics,2,110200.0,220400.0
INV567574,C03585,2024-07-15,Singapore,Budget,Home & Living,4,35100.0,140400.0
INV879779,C02668,2023-06-12,Thailand,Premium,Fashion,2,1574600.0,3149200.0
INV371782,C02365,2024-04-05,Indonesia,Budget,Food & Beverage,1,137300.0,137300.0
INV390782,C02216,2024-10-14,Malaysia,Budget,Fashion,1,91200.0,91200.0
INV608136,C01452,2024-06-17,Indonesia,Premium,Sports,1,760400.0,760400.0
INV350867,C02271,2024-10-03,Indonesia,Regular,Beauty,1,207100.0,207100.0
INV561239,C03916,2023-10-09,Indonesia,Premium,Fashion,1,1256900.0,1256900.0
INV345884,C01492,2023-05-27,Malaysia,Budget,Books,1,72700.0,72700.0
INV452161,C02506,2023-10-06,Indonesia,Premium,Home & Living,4,1788600.0,7154300.0
INV666390,C03933,2023-11-24,Indonesia,Regular,Sports,2,324800.0,649600.0
INV245095,C01657,2023-03-24,Philippines,Premium,Beauty,1,1489100.0,1489100.0
INV342495,C00092,2023-06-04,Australia,Regular,Home & Living,1,551300.0,551300.0
INV827659,C01353,2024-01-28,Indonesia,Regular,Fashion,1,313500.0,313500.0
INV167348,C03138,2023-04-20,Singapore,Budget,Home & Living,1,41500.0,41500.0
INV527398,C02910,2024-02-29,Singapore,Regular,Food & Beverage,2,174000.0,348100.0
INV668969,C01424,2023-12-05,Thailand,Regular,Home & Living,1,103700.0,103700.0
INV535970,C00147,2024-04-22,Singapore,Regular,Electronics,1,101200.0,101200.0
INV316881,C00575,2023-03-05,Indonesia,Premium,Toys,1,367600.0,367600.0
INV907189,C00436,2024-02-03,Philippines,Budget,Home & Living,1,99200.0,99200.0
INV120480,C02300,2024-12-13,Thailand,Budget,Sports,1,90100.0,90100.0
INV498858,C01477,2024-08-12,Indonesia,Regular,Home & Living,1,96700.0,96700.0
INV106182,C02041,2024-05-03,Australia,Premium,Electronics,1,1063600.0,1063600.0
INV413118,C03066,2023-12-27,Japan,Regular,Beauty,3,358800.0,1076300.0
INV664365,C02331,2024-03-05,Indonesia,Budget,Food & Beverage,4,66200.0,264700.0
INV938722,C02012,2024-07-13,Malaysia,Premium,Beauty,2,1063800.0,2127700.0
INV331251,C02737,2024-09-09,Indonesia,Regular,Fashion,1,46300.0,46300.0
INV557007,C00552,2023-10-07,Thailand,Budget,Fashion,3,50700.0,152000.0
INV130434,C01974,2024-05-12,Philippines,Regular,Electronics,1,180300.0,180300.0
INV452457,C00741,2024-02-03,Indonesia,Regular,Home & Living,2,219500.0,439100.0
INV812131,C00670,2024-11-15,Indonesia,Premium,Home & Living,1,446200.0,446200.0
INV859359,C01187,2024-02-19,Indonesia,Premium,Fashion,3,564300.0,1692900.0
INV981334,C03227,2023-06-19,Vietnam,Regular,Fashion,1,255700.0,255700.0
INV233827,C01357,2024-04-23,Malaysia,Regular,Home & Living,3,446100.0,1338300.0
INV128276,C03731,2024-06-30,Thailand,Budget,Fashion,2,77400.0,154900.0
INV691807,C02182,2024-08-29,Vietnam,Budget,Fashion,5,85800.0,429000.0
INV128418,C02617,2024-11-09,Indonesia,Regular,Fashion,9,254500.0,2290100.0
INV773971,C02887,2023-03-27,Malaysia,Regular,Electronics,1,180200.0,180200.0
INV242291,C03088,2024-03-14,Indonesia,Premium,Sports,1,1023300.0,1023300.0
INV152727,C03954,2023-07-06,Singapore,Budget,Electronics,1,51000.0,51000.0
INV497519,C00237,2023-09-24,Indonesia,Premium,Home & Living,1,541500.0,541500.0
INV442722,C02325,2023-08-21,Vietnam,Budget,Fashion,4,68800.0,275400.0
INV898207,C03329,2023-12-12,Indonesia,Regular,Electronics,2,264900.0,529800.0
INV391773,C01075,2024-01-24,Indonesia,Premium,Electronics,1,722600.0,722600.0
INV364525,C02591,2024-03-07,Vietnam,Budget,Electronics,3,51100.0,153300.0
INV120324,C02641,2024-04-26,Indonesia,Budget,Sports,1,37400.0,37400.0
INV154615,C02696,2024-07-06,Australia,Regular,Sports,7,396100.0,2773000.0
INV335113,C01615,2023-12-25,Singapore,Regular,Fashion,4,63000.0,252000.0
